Advertiser Name (Ad Manager),Voiro Brand ID,Ads Manager advertiser ID,Brands,Company,Sales SPOC,Sales Lead,Sales Coordinator,COD SPOC,Category,Product List,Solutions,Buy Type,Rate,Agency / Direct,Branding/ Peformance,Campaign Objective,Campaign Objective Target,Campaign Objective achieved (MTD),Campaign Status,RO amount,IGNORE,RO as per Voiro,Difference,Total budget Delivery,Impressions/Deliveries,Clicks/ Engagements,System Revenue,3P Margin,Salience,eCPM/eCPE
Marico,174,3344,Marico,Marico,Ravi Prasad,Swati Kawatra,Priyanka Somvanshi,Sirjan Kaur,FMCG,1P,1P,CPM,32,Agency,Branding,,,,Live,"13,21,752","13,21,752","14,01,752","10,48,961","2,72,791",#N/A,"85,68,509",,,1.60%,
Namaste India,1420,4607,Dr. Reddy's,Dr. Reddy's,Sobhagya Gupta,Trishna Rana,Priyanka Somvanshi,Sirjan Kaur,"Health, Education, Real Estate",1P,1P,CPM,30,Agency,Branding,,,,Live,"2,00,000","2,00,000",0,"1,82,000","18,000",#N/A,"3,21,392",,,0.10%,
Amazon,95,2599,Amazon,AMAZON SELLER SERVICES PRIVATE LIMITED,Aakash Banthia,Aakash Banthia,Shakib,Navneet Kamboj,"D2C- PC, F&B, F&R",1P,1P,CPM,18,Agency,Branding,CTR,0.50%,,Live,"3,48,738","3,48,738","59,29,731","-54,00,632","57,49,370",#N/A,"18,78,84,747",,,32.80%,
Google,1170,4228,Google,GOOGLE ASIA PACIFIC PTE LTD,Sanjana Lal,Deepinder Singh,Ashish Kumar Sinha,Navneet Kamboj,"D2C- PC, F&B, F&R",1P,1P,CPM,51,Direct,Branding,CTR,1%,,Live,"45,28,967","45,28,967","45,28,967","30,87,892","14,41,075",#N/A,"2,83,30,480",,,8.20%,
KFC,84,1712,KFC,KFC,Sanjana Lal,Deepinder Singh,Ashish Kumar Sinha,Navneet Kamboj,"D2C- PC, F&B, F&R",1P,1P,CPM,53,Agency,Branding,CTR,0.50%,,Live,"2,47,560","2,47,560","19,69,749","-7,72,074","10,19,634",#N/A,"1,69,40,690",,,5.80%,
Snitch,1389,4240,Snitch,SNITCH,Ishan Bhanot,punit arora,Shakib,Navneet Kamboj,"D2C- PC, F&B, F&R",1P,1P,CPM,80,Direct,Branding,CTR,2%,,Live,"3,17,316","3,17,316","6,92,308","-6,16,298","9,33,614",#N/A,"1,56,86,474",,,5.30%,
Flipkart,1007,3172,Flipkart,Flipkart,Aakash Banthia,Aakash Banthia,Shakib,Navneet Kamboj,"D2C- PC, F&B, F&R",1P,1P,CPM,45,Agency,Branding,CTR,1.50%,,Live,"8,00,000","8,00,000","8,00,000","21,337","7,78,663",#N/A,"1,91,98,227",,,4.40%,
Google Play,1170,1325,Google,GOOGLE ASIA PACIFIC PTE LTD,Sanjana Lal,Deepinder Singh,Ashish Kumar Sinha,Navneet Kamboj,"D2C- PC, F&B, F&R",1P,1P,CPM,135,Direct,Branding,CTR,1%,,Live,"5,00,000","5,00,000","5,00,000","1,71,011","3,28,989",#N/A,"49,77,168",,,1.90%,
DIPR Jharkhand,182,4115,Information & Public Relations Department Jharkhand,DIPR Jharkhand,Rajeev Singh,Anand Shankar,Kanhaiya Kumar,Saurabh Kumar Yadav,Government,1P,1P,CPM,25,Direct,Branding,CPM,25,,FInished,"2,75,000","2,75,000","2,75,000",0,"4,40,000",#N/A,"1,72,01,042",,,1.60%,
LIC Of India,666,2338,Life Insurance Corporation of India,Life Insurance Corporation of India,Rajeev Singh,Anand Shankar,Kanhaiya Kumar,Saurabh Kumar Yadav,Government,1P,1P,CPM,35,Agency,Branding,CPM,35,,Live,"2,00,000","2,00,000","10,66,667","87,500","1,12,500",#N/A,"43,64,963",,,0.60%,
