Date,advertiser_id,advertiser_name,advertiser_type,placement_group,placement,view_id,campaign_name,campaign_id,offer_type,Ads_Impressions,Ads_Clicks,Ads_Revenue
01-07-2026,501,American Express,EXTERNAL,HomePage,HomePage ATF,324724,American Express | ATF | BFSI Clicker | Charge | June26,66298,1P,1,4,40
01-07-2026,501,American Express,EXTERNAL,HomePage,HomePage ATF,324724,American Express | ATF | BFSI Clicker | Reserve | June26,66301,1P,3,5,50
01-07-2026,501,American Express,EXTERNAL,HomePage,HomePage ATF,324724,American Express | ATF | CC | Charge | June26,66299,1P,4,2,20
01-07-2026,501,American Express,EXTERNAL,HomePage,HomePage ATF,324724,American Express | ATF | CC | Reserve | June26,66302,1P,3,3,30
01-07-2026,501,American Express,EXTERNAL,HomePage,HomePage ATF,324724,American Express | ATF | Cibil 750 | Charge | June26,66300,1P,1,0,0
01-07-2026,501,American Express,EXTERNAL,HomePage,HomePage ATF,324724,American Express | ATF | Cibil 750 | Reserve | June26,66303,1P,0,1,10
01-07-2026,501,American Express,EXTERNAL,HomePage,HomePage ATF,324724,American Express | ATF | ML | Charge | June26,66290,1P,5,5,50
01-07-2026,501,American Express,EXTERNAL,HomePage,HomePage ATF,324724,American Express | ATF | ML | Reserve | June26,66291,1P,6,3,30
01-07-2026,501,American Express,EXTERNAL,HomePage,HomePage ATF,324724,American Express | ATF | PML | Charge | June26,66305,1P,0,1,10
01-07-2026,501,American Express,EXTERNAL,HomePage,HomePage ATF,324724,American Express | ATF | PML | Reserve | June26,66304,1P,4,4,40
01-07-2026,501,American Express,EXTERNAL,HomePage,HomePage ATF,324724,American Express | ATF | Transaction | Charge | June26,66573,1P,2,1,10
01-07-2026,501,American Express,EXTERNAL,HomePage,HomePage ATF,324724,American Express | ATF | Transaction | Reserve | June26,66572,1P,3,0,0
02-07-2026,714,Lenovo,EXTERNAL,Post Transaction,Companion Bannner,329544,Lenovo Banner | Bumrah Intel | June CB,66735,1P,50878,42,50.878
09-07-2026,714,Lenovo,EXTERNAL,Post Transaction,Companion Bannner,329544,Lenovo Banner | Bumrah AI | June CB,66732,1P,47565,34,47.565
07-07-2026,714,Lenovo,EXTERNAL,Post Transaction,Companion Bannner,329544,Lenovo Banner | Bumrah Intel | June CB,66735,1P,47518,32,47.518
09-07-2026,714,Lenovo,EXTERNAL,Post Transaction,Companion Bannner,329544,Lenovo Banner | Bumrah Intel | June CB,66735,1P,47124,45,47.124
01-07-2026,714,Lenovo,EXTERNAL,Post Transaction,Companion Bannner,329544,Lenovo Banner | Bumrah AI | June CB,66732,1P,46492,29,46.492
08-07-2026,714,Lenovo,EXTERNAL,Post Transaction,Companion Bannner,329544,Lenovo Banner | Bumrah Intel | June CB,66735,1P,46004,37,46.004
03-07-2026,714,Lenovo,EXTERNAL,Post Transaction,Companion Bannner,329544,Lenovo Banner | Bumrah AI | June CB,66732,1P,45403,35,45.403
07-07-2026,714,Lenovo,EXTERNAL,Post Transaction,Companion Bannner,329544,Lenovo Banner | Bumrah AI | June CB,66732,1P,44655,32,44.655
07-07-2026,714,Lenovo,EXTERNAL,Post Transaction,Companion Bannner,329544,Lenovo Banner | Bumrah Battery | June CB,66672,1P,44165,40,44.165
01-07-2026,760,Mondelez,EXTERNAL,,,346688,Mondelez_24thJune_30June_6678_L,66705,1P,0,4,0
01-07-2026,760,Mondelez,EXTERNAL,,,346781,Flip_Cmplt_Rec,66829,1P,6,15,0.12
01-07-2026,760,Mondelez,EXTERNAL,,,346781,Mondelez_26thJune_30June_6678AB,66824,1P,3,15,0.3
01-07-2026,760,Mondelez,EXTERNAL,,,346781,Mondelez_26thJune_30June_6678Sand,66741,1P,0,1,0
01-07-2026,760,Mondelez,EXTERNAL,,,351812,Flip_Cmplt_Rec,66829,1P,130,913,2.6
01-07-2026,760,Mondelez,EXTERNAL,,,351812,Mondelez_26thJune_30June_6678AB,66824,1P,524,510,54.3
01-07-2026,760,Mondelez,EXTERNAL,,,351812,Mondelez_26thJune_30June_6678Sand,66741,1P,0,43,0
01-07-2026,760,Mondelez,EXTERNAL,HomePage,HomePage ATF,324724,Mondelez_24thJune_30June_6678,66683,1P,641,145,160.25
01-07-2026,760,Mondelez,EXTERNAL,HomePage,HomePage ATF,324724,Mondelez_24thJune_30June_6678_L,66705,1P,244,92,61
01-07-2026,760,Mondelez,EXTERNAL,HomePage,HomePage ATF,324724,Mondelez_26thJune_30June_6678AB,66824,1P,6649,227,664.9
01-07-2026,760,Mondelez,EXTERNAL,HomePage,HomePage ATF,324724,Mondelez_26thJune_30June_6678HSBNew,66763,1P,903,396,180.6
01-07-2026,760,Mondelez,EXTERNAL,HomePage,HomePage ATF,324724,Mondelez_26thJune_30June_6678Sand,66741,1P,0,1,0
01-07-2026,774,Airtel,EXTERNAL,,,346688,Airtel_18thJune_30thJune_Multipul_Exclude_Top20,66564,1P,1,4,0.01
01-07-2026,774,Airtel,EXTERNAL,,,346688,Airtel_18thJune_30thJune_Multipul_Top20,66559,1P,8,11,0.12
01-07-2026,774,Airtel,EXTERNAL,,,346688,Airtel_18thJune_30thJune_Single_Exclude_Top20,66562,1P,22,13,0.33
01-07-2026,774,Airtel,EXTERNAL,,,346688,Airtel_18thJune_30thJune_Single_Top20,66557,1P,2,4,0.02
01-07-2026,774,Airtel,EXTERNAL,HomePage,HomePage ATF,324724,Airtel_18thJune_30thJune_Multipul_Exclude_Top20,66564,1P,384,193,10.82
01-07-2026,774,Airtel,EXTERNAL,HomePage,HomePage ATF,324724,Airtel_18thJune_30thJune_Multipul_Top20,66559,1P,145,202,3.3
01-07-2026,774,Airtel,EXTERNAL,HomePage,HomePage ATF,324724,Airtel_18thJune_30thJune_Single_Exclude_Top20,66562,1P,609,234,12.1
01-07-2026,774,Airtel,EXTERNAL,HomePage,HomePage ATF,324724,Airtel_18thJune_30thJune_Single_Top20,66557,1P,105,163,3.15
01-07-2026,1064,Max Life Insurance,EXTERNAL,HomePage,HomePage ATF,324724,Max Life Savings | ATF | Clicker | June26,66200,1P,2,0,0
01-07-2026,1114,Live Tests,INTERNAL,,,346781,Zomato_1P_Delhi_March,64342,1P,0,1,0
01-07-2026,1114,Live Tests,INTERNAL,HomePage,HomePage ATF,324724,Rounded Corners Issues Test Campaign,66598,1P,1,0,0.1
01-07-2026,1114,Live Tests,INTERNAL,HomePage,HomePage ATF,324724,Test_Magnite_GIF_ATF_Takeover,66828,1P,3,0,0.003
01-07-2026,1254,Apple,EXTERNAL,,,346781,Apple_Jun-Jul26_MAC_fmcmp_iOS,66858,1P,2694,41,218.214
01-07-2026,1254,Apple,EXTERNAL,,,346781,Apple_Jun-Jul26_MAC_fmrlby_iOS,66758,1P,1951,16,158.031
01-07-2026,1254,Apple,EXTERNAL,,,346781,Apple_Jun-Jul26_Privacy_And,66793,1P,2402,41,204.17
01-07-2026,1254,Apple,EXTERNAL,,,346781,Apple_Jun-Jul26_Privacy_iOS,66792,1P,1210,9,102.85
01-07-2026,1254,Apple,EXTERNAL,,,346781,Apple_Jun-jul26_MAC_fmcmp_and,66859,1P,768,16,62.208
01-07-2026,1254,Apple,EXTERNAL,,,346781,Apple_Jun-jul26_MAC_fmrlby_and,66759,1P,38,1,3.078
01-07-2026,1254,Apple,EXTERNAL,,,351812,Apple_Jun-Jul26_MAC_fmcmp_iOS,66858,1P,53914,414,4367.034
01-07-2026,1254,Apple,EXTERNAL,,,351812,Apple_Jun-Jul26_MAC_fmrlby_iOS,66758,1P,38140,306,3089.34
01-07-2026,1254,Apple,EXTERNAL,,,351812,Apple_Jun-Jul26_MAC_fmrlby_iOS 2,66755,1P,0,1,0
01-07-2026,1254,Apple,EXTERNAL,,,351812,Apple_Jun-Jul26_Privacy_And,66793,1P,100803,1389,8568.255
01-07-2026,1254,Apple,EXTERNAL,,,351812,Apple_Jun-Jul26_Privacy_iOS,66792,1P,22667,184,1926.695
01-07-2026,1254,Apple,EXTERNAL,,,351812,Apple_Jun-jul26_MAC_fmcmp_and,66859,1P,62136,1133,5033.016
01-07-2026,1254,Apple,EXTERNAL,,,351812,Apple_Jun-jul26_MAC_fmrlby_and,66759,1P,3820,94,309.42
01-07-2026,1254,Apple,EXTERNAL,,,351812,Apple_Jun-jul26_MAC_fmrlby_and 2,66757,1P,1,52,0.081
01-07-2026,1254,Apple,EXTERNAL,HomePage,HomePage ATF,324724,Apple_Jun-Jul26_MAC_fmcmp_iOS,66858,1P,96671,173,7830.351
01-07-2026,1254,Apple,EXTERNAL,HomePage,HomePage ATF,324724,Apple_Jun-Jul26_MAC_fmrlby_iOS,66758,1P,61879,102,5012.199
01-07-2026,1254,Apple,EXTERNAL,HomePage,HomePage ATF,324724,Apple_Jun-Jul26_MAC_fmrlby_iOS 2,66755,1P,54,2,4.374
01-07-2026,1254,Apple,EXTERNAL,HomePage,HomePage ATF,324724,Apple_Jun-Jul26_Privacy_And,66793,1P,129657,266,11020.845
01-07-2026,1254,Apple,EXTERNAL,HomePage,HomePage ATF,324724,Apple_Jun-Jul26_Privacy_iOS,66792,1P,36411,50,3094.935
01-07-2026,1254,Apple,EXTERNAL,HomePage,HomePage ATF,324724,Apple_Jun-jul26_AirPod_All In Pricing_And,66782,1P,73190,183,5928.39
01-07-2026,1254,Apple,EXTERNAL,HomePage,HomePage ATF,324724,Apple_Jun-jul26_AirPod_All In Pricing_iOS,66781,1P,74598,139,6042.438
01-07-2026,1254,Apple,EXTERNAL,HomePage,HomePage ATF,324724,Apple_Jun-jul26_AirPod_AllInPricing-ANC_And,66784,1P,74972,250,6072.732
01-07-2026,1254,Apple,EXTERNAL,HomePage,HomePage ATF,324724,Apple_Jun-jul26_AirPod_AllInPricing-ANC_iOS,66783,1P,82533,172,6685.173
01-07-2026,1254,Apple,EXTERNAL,HomePage,HomePage ATF,324724,Apple_Jun-jul26_AirPod_MP+All-InPricing-ANC_And,66789,1P,73246,218,5932.926
01-07-2026,1254,Apple,EXTERNAL,HomePage,HomePage ATF,324724,Apple_Jun-jul26_AirPod_MP+All-InPricing-ANC_iOS,66785,1P,77176,160,6251.256
01-07-2026,1254,Apple,EXTERNAL,HomePage,HomePage ATF,324724,Apple_Jun-jul26_AirPod_StartingAt+ANC_And,66791,1P,77230,264,6255.63
01-07-2026,1254,Apple,EXTERNAL,HomePage,HomePage ATF,324724,Apple_Jun-jul26_AirPod_StartingAt+ANC_iOS,66790,1P,85490,198,6924.69
01-07-2026,1254,Apple,EXTERNAL,HomePage,HomePage ATF,324724,Apple_Jun-jul26_MAC_fmcmp_and,66859,1P,83998,253,6803.838
01-07-2026,1254,Apple,EXTERNAL,HomePage,HomePage ATF,324724,Apple_Jun-jul26_MAC_fmrlby_and,66759,1P,5457,22,442.017
01-07-2026,1254,Apple,EXTERNAL,HomePage,HomePage ATF,324724,Apple_Jun-jul26_MAC_fmrlby_and 2,66757,1P,4,1,0.324
01-07-2026,1325,Google Play,EXTERNAL,,,346781,GooglePlay_1P_July,66670,1P,29994,765,2669.466
01-07-2026,1325,Google Play,EXTERNAL,,,351812,GooglePlay_1P_July,66670,1P,1274332,27635,113415.548
01-07-2026,1325,Google Play,EXTERNAL,HomePage,HomePage ATF,324724,GooglePlay_1P_July,66670,1P,1094431,4281,97404.359
01-07-2026,1542,UTI Mutual Fund,EXTERNAL,HomePage,HomePage ATF,324724,UTI MF | ATF | PTS | ML | June-July26,66708,1P,29331,801,4815.46
01-07-2026,1542,UTI Mutual Fund,EXTERNAL,HomePage,HomePage ATF,324724,UTI MF | ATF | PTS | ML | June26,66239,1P,8,4,40
01-07-2026,1542,UTI Mutual Fund,EXTERNAL,HomePage,HomePage ATF,324724,UTI MF | ATF | PTS | ML | June26 VA,66339,1P,9,17,0.36
01-07-2026,1542,UTI Mutual Fund,EXTERNAL,HomePage,HomePage ATF,324724,UTI MF | ATF | PTS | ML | May26 New,66173,1P,0,1,0
01-07-2026,1542,UTI Mutual Fund,EXTERNAL,Post Transaction,P2M BTF,318401,UTI MF | ATF | PTS | ML | June-July26,66708,1P,3,0,0.495
01-07-2026,1670,Zee 5,EXTERNAL,,,346781,Zee5_Fifa_27june,66711,1P,1644,28,411
01-07-2026,1670,Zee 5,EXTERNAL,,,351812,Zee5_Fifa_27june,66711,1P,103664,1045,25916
